year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2013,1,1,629,-1,721,-19,WN,N273WN,4646,LGA,BWI,40,185,6,29
2013,1,1,848,853,1001,851,MQ,N942MQ,3944,JFK,BWI,41,184,8,48
2013,1,1,1059,-1,1201,-14,WN,N505SW,321,LGA,BWI,43,185,10,59
2013,1,1,1158,-2,1256,-4,WN,N783SW,1568,EWR,BWI,38,169,11,58
2013,1,1,1316,2,1412,-3,EV,N11551,4340,EWR,BWI,38,169,13,16
2013,1,1,1530,0,1650,-5,9E,N913XJ,3369,JFK,BWI,40,184,15,30
2013,1,1,1815,10,1928,8,WN,N266WN,731,LGA,BWI,46,185,18,15
2013,1,1,1957,-8,2100,-26,9E,N8598B,4091,JFK,BWI,41,184,19,57
2013,1,1,2158,-2,2254,-13,EV,N14998,4103,EWR,BWI,36,169,21,58
2013,1,2,628,13,730,15,WN,N961WN,3641,EWR,BWI,42,169,6,28
2013,1,2,630,0,727,-13,WN,N7735A,4648,LGA,BWI,42,185,6,30
2013,1,2,1003,103,1105,85,9E,N8968E,3694,JFK,BWI,39,184,10,3
2013,1,2,1101,1,1201,-14,WN,N701GS,3094,LGA,BWI,35,185,11,1
2013,1,2,1239,19,1328,8,WN,N941WN,1672,EWR,BWI,36,169,12,39
2013,1,2,1421,67,1515,60,EV,N16559,4340,EWR,BWI,37,169,14,21
2013,1,2,1524,-6,1658,3,9E,N915XJ,3369,JFK,BWI,41,184,15,24
2013,1,2,1810,-5,1923,-7,WN,N233LV,4844,LGA,BWI,40,185,18,10
2013,1,2,1829,67,1940,77,EV,N15986,4151,EWR,BWI,35,169,18,29
2013,1,2,1832,-3,1926,-24,MQ,N846MQ,3944,JFK,BWI,36,184,18,32
2013,1,2,1835,10,1942,2,WN,N461WN,2450,EWR,BWI,36,169,18,35
2013,1,2,2150,105,2255,89,9E,N8976E,4091,JFK,BWI,39,184,21,50
2013,1,2,2309,69,5,58,EV,N13123,4485,EWR,BWI,37,169,23,9
2013,1,3,603,-2,709,4,WN,N783SW,1036,EWR,BWI,39,169,6,3
2013,1,3,633,3,752,12,WN,N447WN,4646,LGA,BWI,43,185,6,33
2013,1,3,859,39,1011,32,9E,N8611A,4051,JFK,BWI,41,184,8,59
2013,1,3,1104,4,1158,-17,WN,N785SW,321,LGA,BWI,40,185,11,4
2013,1,3,1233,8,1327,2,WN,N619SW,831,EWR,BWI,35,169,12,33
2013,1,3,1403,34,1456,25,EV,N14542,4280,EWR,BWI,36,169,14,3
2013,1,3,1547,2,1658,-5,9E,N826AY,3635,JFK,BWI,39,184,15,47
2013,1,3,1707,-3,1805,-15,EV,N17115,4342,EWR,BWI,39,169,17,7
2013,1,3,1806,1,1911,-9,WN,N449WN,731,LGA,BWI,42,185,18,6
2013,1,3,1829,14,1941,11,WN,N257WN,2582,EWR,BWI,41,169,18,29
2013,1,3,1939,-1,2039,-27,9E,N826AY,4091,JFK,BWI,35,184,19,39
2013,1,3,2001,86,2101,71,MQ,N645MQ,3944,JFK,BWI,40,184,20,1
2013,1,3,2203,4,2259,-1,EV,N13118,4162,EWR,BWI,35,169,22,3
2013,1,4,600,-5,651,-14,WN,N251WN,1036,EWR,BWI,34,169,6,0
2013,1,4,629,-1,717,-23,WN,N357SW,4646,LGA,BWI,37,185,6,29
2013,1,4,825,5,954,15,9E,N8884E,4051,JFK,BWI,40,184,8,25
2013,1,4,1110,10,1211,-4,WN,N700GS,321,LGA,BWI,38,185,11,10
2013,1,4,1237,12,1325,0,WN,N710SW,831,EWR,BWI,33,169,12,37
2013,1,4,1342,13,1438,7,EV,N15555,4280,EWR,BWI,36,169,13,42
2013,1,4,1540,-5,1644,-19,9E,N8903A,3635,JFK,BWI,40,184,15,40
2013,1,4,1733,23,1835,15,EV,N13958,4316,EWR,BWI,34,169,17,33
2013,1,4,1809,4,1939,19,WN,N960WN,731,LGA,BWI,48,185,18,9
2013,1,4,1827,-8,1925,-25,MQ,N845MQ,3944,JFK,BWI,39,184,18,27
2013,1,4,1832,17,1940,10,WN,N214WN,2582,EWR,BWI,34,169,18,32
2013,1,4,1946,6,2059,-7,9E,N8903A,4091,JFK,BWI,41,184,19,46
2013,1,4,2155,-4,2247,-13,EV,N21129,4162,EWR,BWI,37,169,21,55
2013,1,5,606,-4,703,-12,WN,N469WN,3170,EWR,BWI,33,169,6,6
2013,1,5,725,3,824,-6,EV,N21129,4227,EWR,BWI,32,169,7,25
2013,1,5,820,25,916,11,WN,N429WN,3517,LGA,BWI,38,185,8,20
2013,1,5,830,0,946,-1,9E,N8747B,4051,JFK,BWI,36,184,8,30
2013,1,5,1125,0,1222,-18,WN,N359SW,3551,LGA,BWI,38,185,11,25
2013,1,5,1155,-5,1250,-10,WN,N646SW,421,EWR,BWI,38,169,11,55
2013,1,5,1326,-2,1421,-9,EV,N13958,4119,EWR,BWI,39,169,13,26
2013,1,5,1328,-2,1420,-30,WN,N472WN,2748,LGA,BWI,37,185,13,28
2013,1,5,1537,-8,1644,-17,9E,N8914A,3635,JFK,BWI,42,184,15,37
2013,1,5,1729,29,1817,2,WN,N7714B,2774,EWR,BWI,34,169,17,29
2013,1,5,1831,-4,1941,-9,MQ,N942MQ,3944,JFK,BWI,36,184,18,31
2013,1,5,1939,-1,2046,-18,9E,N8672A,4091,JFK,BWI,38,184,19,39
2013,1,5,2153,-6,2253,-6,EV,N15973,4276,EWR,BWI,37,169,21,53
2013,1,6,815,-5,940,1,9E,N8903A,4051,JFK,BWI,41,184,8,15
2013,1,6,1207,-3,1310,0,WN,N705SW,477,EWR,BWI,42,169,12,7
2013,1,6,1335,0,1433,-1,EV,N14920,5683,EWR,BWI,38,169,13,35
2013,1,6,1552,7,1722,19,9E,N8883E,3635,JFK,BWI,38,184,15,52
2013,1,6,1706,0,1807,-1,EV,N16170,4316,EWR,BWI,39,169,17,6
2013,1,6,1758,-2,1906,-4,WN,N957WN,808,EWR,BWI,39,169,17,58
2013,1,6,1832,-3,1942,-8,MQ,N636MQ,3944,JFK,BWI,41,184,18,32
2013,1,6,1945,5,2058,-8,9E,N8883E,4091,JFK,BWI,37,184,19,45
2013,1,6,2202,3,2256,-4,EV,N13955,4162,EWR,BWI,36,169,22,2
2013,1,7,622,-3,707,-23,WN,N762SW,3127,EWR,BWI,31,169,6,22
2013,1,7,815,-5,924,-15,9E,N8907A,4051,JFK,BWI,38,184,8,15
2013,1,7,1207,-3,1301,-9,WN,N799SW,477,EWR,BWI,39,169,12,7
2013,1,7,1326,-3,1419,-12,EV,N16911,4280,EWR,BWI,37,169,13,26
2013,1,7,1610,25,1729,26,9E,N8869B,3635,JFK,BWI,36,184,16,10
2013,1,7,1706,-4,1800,-20,EV,N17984,4316,EWR,BWI,36,169,17,6
