Date,Max Temp,Min Temp,Precipitation,Snowfall,Snow Depth
1/1/13,44,34,0,0,0
1/2/13,37,26,0,0,0
1/3/13,38,22,0,0,0
1/4/13,42,23,0,0,0
1/5/13,43,31,T,0,0
1/6/13,51,28,T,0,0
1/7/13,47,27,0,0,0
1/8/13,52,23,0,0,0
1/9/13,51,27,T,0,0
1/10/13,53,36,0,0,0
1/11/13,45,32,0.07,0,0
1/12/13,57,42,0,0,0
1/13/13,49,40,T,0,0
1/14/13,58,41,0.15,0,0
1/15/13,41,35,0.66,0,0
1/16/13,40,34,0.49,0,0
1/17/13,45,37,T,0,0
1/18/13,38,27,0,0,0
1/19/13,54,28,0,0,0
1/20/13,58,35,0,0,0
1/21/13,41,29,T,T,0
1/22/13,29,15,0,0,0
1/23/13,25,12,0,0,0
1/24/13,26,14,0.08,2,2
1/25/13,22,11,0.07,0.9,2
1/26/13,34,20,T,T,1
1/27/13,42,24,0,0,0
1/28/13,41,30,0.17,T,T
1/29/13,66,37,0,0,0
1/30/13,70,39,1.22,0,0
1/31/13,63,28,0.73,0,0
2/1/13,31,20,0.01,T,T
2/2/13,29,17,0.02,0.3,0
2/3/13,34,20,T,T,T
2/4/13,35,21,0,0,0
2/5/13,38,29,0,0,0
2/6/13,44,28,0,0,0
2/7/13,38,24,0,0,0
2/8/13,42,33,0.24,0,0
2/9/13,40,27,0,0,0
2/10/13,43,18,0,0,0
2/11/13,54,36,0.41,0,0
2/12/13,54,37,0,0,0
2/13/13,44,31,0.31,0.2,0
2/14/13,49,30,0,0,0
2/15/13,59,29,0.09,T,0
2/16/13,37,32,0.04,T,0
2/17/13,32,24,T,T,0
2/18/13,40,20,0,0,0
2/19/13,45,26,0.09,T,0
2/20/13,38,24,T,T,0
2/21/13,38,23,0,0,0
2/22/13,33,28,0.03,T,0
2/23/13,46,32,0.12,0,0
2/24/13,50,31,0,0,0
2/25/13,48,27,0,0,0
2/26/13,43,26,0.49,0,0
2/27/13,56,40,0.07,0,0
2/28/13,47,39,0.03,T,0
3/1/13,45,33,0,0,0
3/2/13,41,30,T,T,0
3/3/13,39,29,T,T,0
3/4/13,42,27,0,0,0
3/5/13,48,27,0,0,0
3/6/13,40,33,0.75,T,T
3/7/13,49,35,0,0,0
3/8/13,49,33,0,0,0
3/9/13,62,35,0,0,0
3/10/13,59,28,0,0,0
3/11/13,57,43,0.01,0,0
3/12/13,58,40,0.63,0,0
3/13/13,50,29,T,0,0
3/14/13,45,31,0,0,0
3/15/13,55,25,0,0,0
3/16/13,52,37,T,0,0
3/17/13,41,34,0,0,0
3/18/13,38,35,0.39,0,0
